username,profile_link,city,state,country,recent_ride_locations,admin_region,is_regional_admin
Johris18,https://www.trailforks.com/profile/Johris18,unknown,Minnesota,unknown,"['Cottage Grove', 'Coler Mountain Bike Preserve', 'Crystal Bridges', 'Lebanon Hills', 'Whitetail Ridge', 'Minneapolis', 'West Lake Marion Park', 'Lake Elmo', 'Salem Hills', 'Cuyuna Country State Recreation Area', 'Battle Creek', 'Bertram Chain of Lakes', 'Memorial Park', 'Duluth', 'Burnsville', 'Murphy-Hanrehan Park', 'Kiwanis Recreation Area', 'Jersey Valley County Park', 'Monticello', 'Nerstrand', 'Carver Lake Park', 'Lanesboro', 'Theodore Wirth Park', 'Sunfish Lake Park', 'Xcel Energy Mountain Bike Park', 'Hudson Trails', 'Bloomington', 'Monarch - Carver Park Reserve', 'Eagan', 'Elm Creek Park']","{'region_link': '', 'region_name': ''}",False
grantbob94,https://www.trailforks.com/profile/grantbob94,unknown,unknown,unknown,[],"{'region_link': '', 'region_name': ''}",False
Chmitz,https://www.trailforks.com/profile/Chmitz,unknown,unknown,unknown,"['Duluth', 'Tofte', 'Cuyuna Country State Recreation Area', 'Metro Region', 'Lester Park Trails', 'Minneapolis', 'Carver Lake Park', 'Bloomington', 'Cuyuna', 'Eagan', 'Britton Peak', 'Pincushion Mountain Bike Trails', 'Theodore Wirth Park', 'Tioga Recreation Area', 'Redhead Mountain Bike Park', 'Whitetail Ridge', 'Metro', 'Battle Creek', 'Owatonna', 'Piedmont & Brewer', 'Mission Creek', 'Lakeville', 'Lester Park', 'Lebanon Hills', 'Upper Hixon Forest', 'Nordic Mountain', 'Bainbridge Island', 'Murphy-Hanrehan Park', 'Hartman Creek State Park']","{'region_link': '', 'region_name': ''}",False
gpzrider,https://www.trailforks.com/profile/gpzrider,unknown,unknown,unknown,[],"{'region_link': '', 'region_name': ''}",False
offcamber650b,https://www.trailforks.com/profile/offcamber650b,Eagan,Minnesota,USA,"['Lebanon Hills', 'Carver Lake Park', 'Wildcat Mountain Bike Trail', 'Spooner', 'Silver Bay', 'Split Rock Wilds', 'Minnesota River Bottoms', 'Hayward Area Memorial Hospital Trails (CAMBA)', 'Bloomington', 'Elm Creek Park', 'Minnetonka', 'Hayward', 'Copper Harbor', 'Copper Harbor Trail System', 'East Bluff Bike Park', 'Eagan', 'Monarch - Carver Park Reserve', 'Cable', 'Salem Hills', 'Chaska', 'Hospital Trails', 'Seeley', 'Cottage Grove', 'Tofte', 'Cleary Lake Regional Park', 'Hobbs State Park', 'Crystal Bridges', 'Coler Preserve', 'Bentonville', 'Bella Vista', 'Murphy-Hanrehan Park', 'West Lake Marion Park', 'Cuyuna Country State Recreation Area', 'Cuyuna', 'Coon Rapids', 'Namakagon', 'Maple Grove', 'Minneapolis', 'Whitetail Ridge', 'Two Harbors', 'Lutsen', 'Inver Grove Heights', 'Telemark', 'Red Wing', 'Stillwater', 'Rockford', 'Lake Elmo', 'Lake Elmo Park Reserve', 'Sentinel Butte', 'Keystone', 'Hanson-Larsen Memorial Park', 'Crosby', 'Northeast', 'Battle Creek', 'St. Paul', 'Roseville', 'Spirit Mountain &nearr;', 'Spirit Mountain', 'Gamehaven', 'Carlton', 'St. Croix Falls', 'Highway OO']","{'region_link': '', 'region_name': ''}",False
Eadams2,https://www.trailforks.com/profile/Eadams2,unknown,unknown,unknown,"['Lebanon Hills', 'Victoria Lake', 'Storm Mountain Trails', 'Hanson-Larsen Memorial Park', 'Hixon Forest - Lower and Upper', 'Salem Hills', 'Murphy-Hanrehan Park', 'Hillside City Park', 'Chequamegon Area (CAMBA)', 'Carver Lake Park', 'Split Rock Wilds', 'Britton Peak', 'Memorial Park', 'Detroit Mountain Recreation Area', 'Monticello', 'Lone Lake Park', 'Monarch - Carver Park Reserve', 'Lake Rebecca', 'Battle Creek', 'Rogers', 'Crystal Bridges', 'Little Sugar', 'Blowing Springs', 'Minnesota River Bottoms', 'Minnesota River Trail', 'Minneapolis', 'Inver Grove Heights', 'Elm Creek Park', 'Cable', 'Elk River', 'West Lake Marion Park', 'Cuyuna Country State Recreation Area', 'Harmon Lake Recreation Area', 'Northern Gallatin Range', 'Big Sky', 'Sentinel Butte', 'Coon Rapids', 'Spirit Mountain', 'Tioga Recreation Area', 'Redhead Mountain Bike Park', 'Bertram Chain of Lakes', ""Phil's"", 'Haunted Forest', 'Park Spring Park', 'Mt Kessler', 'Centennial Park at Millsap Mountain', 'Eagan', 'Hayward', 'Smithville Lake Trails', 'Wilson State Park', 'Wyandotte County Lake Park', 'Chaska', 'Whitetail Ridge', 'Giants Ridge', 'Lake Elmo', 'Silverthorne', 'Salida', 'Red Mountain - Soapstone Prairie', 'Theodore Wirth Park', 'West Lake Marion MTB Trails', 'Hartley Park', 'Lester Park', 'Roseville', 'Savage', 'Bloomington', 'Hickory Ridge', 'Cottonwood Valley', 'Burnsville']","{'region_link': '', 'region_name': ''}",False
CdS3hH3B,https://www.trailforks.com/profile/CdS3hH3B,unknown,unknown,unknown,[],"{'region_link': '', 'region_name': ''}",False
awood,https://www.trailforks.com/profile/awood,Lakeville,Minnesota,USA,"['Redhead Mountain Bike Park', 'West Lake Marion Park', 'Murphy-Hanrehan Park', 'Monarch - Carver Park Reserve', 'Lebanon Hills', 'Minnesota River Bottoms', 'Rockford', 'Lakeville', 'Xcel Energy Mountain Bike Park', 'Cuyuna Country State Recreation Area', 'Monterey']","{'region_link': '', 'region_name': ''}",False
lQwsw,https://www.trailforks.com/profile/lQwsw,unknown,unknown,unknown,"['Lebanon Hills', 'Murphy-Hanrehan Park', 'Cuyuna Country State Recreation Area', 'Salem Hills', 'Battle Creek', 'Kinnickinnic State Park', 'Carver Lake Park', 'Elk River', 'Theodore Wirth Park', 'Whitetail Ridge', 'Willow River State Park', 'Elm Creek Park', 'Xcel Energy Mountain Bike Park', 'West Lake Marion Park', 'Lone Lake Park', 'Sunfish Lake Park', 'Bloomington', 'Split Rock Wilds']","{'region_link': '', 'region_name': ''}",False
TimothyAbbott,https://www.trailforks.com/profile/TimothyAbbott,unknown,unknown,unknown,"['Northfield', 'Caron Park', 'Faribault', 'West Lake Marion Park', 'Battle Creek', 'Mount Sutro Open Space Reserve', 'San Francisco', 'Northstar California Resort &nearr;', 'East Shore', 'Laguna Honda Community Trail System', 'Northstar California Resort', 'San Francisco Twin Peaks', 'San Francisco Peaks', 'Tamarancho / West Marin / North Tam', 'McLaren Park', 'Golden Gate Park']","{'region_link': '', 'region_name': ''}",False
Judykobejones,https://www.trailforks.com/profile/Judykobejones,unknown,unknown,unknown,"['Munny Sokal Park', 'Northwoods Trails', 'Texas', 'Waconia', 'Mt. Ashwabay Outdoor Recreation Area', 'Mission Creek', 'Solon Springs', 'Kimble County', 'Corpus Christi', 'Bloomington', 'Bayfield', 'Carlton', 'Drummond', 'Mt. Ashwabay', 'Prior Lake', 'Niceville', 'Alabama', 'Keystone', 'Hospital Trails', 'Delta', 'Hawks Ridge', 'Seeley', 'Hartley Park', 'Wildcat Mountain Bike Trail', 'Chequamegon Area (CAMBA)', 'West Lake Marion MTB Trails', 'Mount Ashwabay', 'Douglas County', 'Eau Claire County', 'Winona', 'Olathe', 'Hayward', 'Cable', 'Lebanon Hills', 'Northeast', 'Murphy-Hanrehan Park', 'Monticello', 'Spirit Mountain', 'Terrace Oaks', 'Whiterock Conservancy', 'Savage', 'Elm Creek Park']","{'region_link': '', 'region_name': ''}",False
AlisAnn,https://www.trailforks.com/profile/AlisAnn,unknown,unknown,unknown,"['Metro Region', 'Irondale Township', 'Red Wing', 'Lake Park', 'Winona', 'Minneapolis', 'Saint Joseph', 'Cuyuna Country State Recreation Area', 'Saint Cloud', 'Silver Bay', 'Roseville', 'Detroit Lakes', 'West Lake Marion Park', 'Salem Hills', 'Milaca Trails', 'Britton Peak', 'Brainerd', 'Murphy-Hanrehan Park', 'Detroit Mountain Recreation Area', 'West Lake Marion MTB Trails', 'Lester Park', 'Monticello', 'Baxter', 'North Loop', 'Bertram Lake', 'River Bluff Trails', 'Northfield', 'Theodore Wirth Park', 'Battle Creek', 'Carver Lake Park', 'Lebanon Hills', 'Elm Creek Park', 'Hillside City Park', 'Maplelag Resort', 'Thatcher Woods', 'Mount Kato', 'Mankato']","{'region_link': '', 'region_name': ''}",False
Jtierns,https://www.trailforks.com/profile/Jtierns,unknown,unknown,unknown,"['Carver Lake Park', 'Whitetail Ridge', 'Theodore Wirth Park', 'Crow Wing County', 'Cuyuna Country State Recreation Area', 'Lake Elmo', 'Lebanon Hills', 'Bentonville', 'Park Spring Park', 'Coler Preserve', 'Slaughter Pen Trails', 'Crystal Bridges', 'Cable', 'Seeley', 'Hospital Trails', 'Willow River State Park', 'Sunfish Lake Park', 'Reid Park', 'Eagan', 'Memorial Park', 'Monarch - Carver Park Reserve', 'Bloomington', 'West Lake Marion Park', 'Rice Lake', 'Haunted Forest', 'Murphy-Hanrehan Park', 'Kiwanis Recreation Area', 'Mission Creek', 'Duluth']","{'region_link': '', 'region_name': ''}",False
mukkinaround,https://www.trailforks.com/profile/mukkinaround,Minneapolis,Minnesota,USA,"['Lebanon Hills', 'Minnesota River Bottoms', 'Murphy-Hanrehan Park', 'Minneapolis', 'Whitetail Ridge', 'Mankato', 'Carver Lake Park', 'Kingdom Trails', 'Monarch - Carver Park Reserve', 'Marquette', 'Eagan', 'Albert Lea', 'Northern Iowa', 'Austin', 'Black Hills', 'Lookout Mountain Park', 'Carlton', 'Duluth', 'Theodore Wirth Park', 'Hidden Valley Recreation Area', 'St. Louis County', 'Elm Creek Park', 'Battle Creek', 'Cuyuna Country State Recreation Area', 'Willow River State Park', 'Xcel Energy Mountain Bike Park', 'Crystal Bridges', 'Little Sugar', 'Hobbs State Park', 'Metro Region', 'Bloomington', 'Hayward', 'Seeley', 'Hospital Trails', 'West Lake Marion Park', 'Minnesota River Trail', 'Maple Grove', 'Bloomer', 'Metro', 'Pope County', 'Waconia', 'Bertram Chain of Lakes', 'Salem Hills', 'Anchorage', 'Hillside Park', 'Winona', 'Cuyuna', 'Hickory Ridge', 'Owatonna', 'Sunfish Lake Park', 'Cottage Grove', 'Shawnee Mission Park', 'Slaughter Pen Trails', 'Rogers', 'Coler Preserve', 'Back 40', 'Roseville', 'Carver Park Reserve', 'Saint Cloud', 'Hixon Forest - Lower and Upper', 'Van Peenen Park', 'Gamehaven', 'Chaska', 'Nisswa', 'Oak Lawn Township', 'Moose Lake', 'Mission Creek', 'Carlton County', 'Two Harbors', 'St. Paul', 'Stillwater', 'Savage', 'Bertram Lake', 'Barton Creek Greenbelt', 'Telemark', 'Rock Lake State Nature Area', 'Praha', 'Lakeville', 'Soquel Demonstration State Forest', 'Blowing Springs', 'Blue River Parkway', 'Big Hill', 'WestView Park', 'Piedmont', 'Northeast', 'Highway OO', 'St. Croix Falls', 'Red Wing', 'Woolly Trails']","{'region_link': '', 'region_name': ''}",False
PlanBMTB,https://www.trailforks.com/profile/PlanBMTB,unknown,unknown,unknown,[],"{'region_link': '', 'region_name': ''}",False
Cory117,https://www.trailforks.com/profile/Cory117,unknown,unknown,unknown,[],"{'region_link': '', 'region_name': ''}",False
BikerTyGuy,https://www.trailforks.com/profile/BikerTyGuy,St. Paul,Minnesota,USA,"['Sunfish Lake Park', 'West Lake Marion Park', 'Lebanon Hills', 'Inver Grove Heights', 'Lake Elmo', 'Spirit Mountain Bike Park', 'Mission Creek', 'Woolly Trails', 'Salem Hills', 'Bloomington', 'Carver Lake Park', 'Breckenridge', 'Giants Ridge &nearr;', 'Battle Creek', 'Murphy-Hanrehan Park', 'Theodore Wirth Park', 'Hixon Forest - Lower and Upper', 'Monarch - Carver Park Reserve', 'Tioga Recreation Area', 'Terrace Oaks', 'Piedmont & Brewer', 'Spirit Mountain &nearr;', 'Spirit Mountain', 'Trestle Bike Park &nearr;', 'Welch Village Ski Resort &nearr;', 'Elm Creek Park', 'Hillside City Park', 'Metro', 'St. Paul']","{'region_link': '', 'region_name': ''}",False
Slurpnfizzle,https://www.trailforks.com/profile/Slurpnfizzle,unknown,unknown,unknown,[],"{'region_link': '', 'region_name': ''}",False
Cdubbaya,https://www.trailforks.com/profile/Cdubbaya,unknown,unknown,unknown,[],"{'region_link': '', 'region_name': ''}",False
Hammersmn,https://www.trailforks.com/profile/Hammersmn,Owatonna,Minnesota,USA,"['Austin', 'City of Antigo Mountain Bike Trail', 'Owatonna', 'Gamehaven', 'Faribault', ""Kaplan's Woods Park"", 'Cuyuna Country State Recreation Area', 'West Lake Marion Park', 'Rochester', 'Brainerd', 'Northfield', 'Murphy-Hanrehan Park', 'Prior Lake', 'Eagan', 'West Lake Marion MTB Trails', 'Ingawanis Woodlands', 'Minnesota', 'Freeport', 'Rockport Park', 'Roscoe', 'Madison', 'Minnesota River Bottoms', 'George Wyth State Park', 'Cedar Falls', 'Hartman Reserve Nature Center', 'Red Wing', 'Memorial Park', 'Caron Park', 'Hayward', 'Northwest', 'La Crosse', 'Lookout Mountain', 'Welch Village MTB Park', 'Jersey Valley County Park', 'Crosby', 'American Legion Memorial Park', 'Lebanon Hills', 'South Central', 'Bloomington', 'Northeast', 'Grand Marais', 'Pincushion Mountain Bike Trails', 'Loch Lomond']","{'region_link': '', 'region_name': ''}",False
tdrayton014,https://www.trailforks.com/profile/tdrayton014,Savage,Minnesota,USA,"['Eagan', 'Terrace Oaks', 'Mankato', 'Elm Creek Park', 'Minneapolis', 'Burnsville', 'Red Wing', 'Minnesota River Bottoms', 'Lebanon Hills', 'Seven Mile Creek', 'St. Paul', 'Inver Grove Heights', 'Cottage Grove', 'West Lake Marion Park', 'Bloomington', 'Chaska', 'Sunfish Lake Park', 'Murphy-Hanrehan Park', 'Cuyuna Country State Recreation Area', 'Coon Rapids', 'Hillside City Park', 'Coler Preserve', 'Lake Leatherwood DH', 'Back 40', 'Wilson State Park', 'Wyandotte County Lake Park', 'Grand Rapids', 'Minnesota River Trail', 'Stillwater', 'Minnesota', 'Superior', 'Carver Lake Park', 'Battle Creek', 'Welch Village MTB Park &nearr;', 'Rock Lake State Nature Area', 'Savage', 'Bertram Lake', 'Copper Harbor Trail System', 'Hickory Ridge', 'Tompkins Bend', 'Slaughter Pen Trails', 'Swope Park', 'Lakeville', 'Theodore Wirth Park', 'Salem Hills', 'Lake Rebecca', 'Levis -Trow Mound', 'Whitetail Ridge']","{'region_link': '', 'region_name': ''}",False
Swift618,https://www.trailforks.com/profile/Swift618,Hugo,Minnesota,USA,"['Northampton', 'Trexler Nature Preserve', 'Sunfish Lake Park', 'Roseville', 'Carver Lake Park', 'Walking Purchase Park', 'Lebanon Hills', 'Marquette', 'Nockamixon State Park', 'Allentown', 'Minneapolis', 'Elm Creek Park', 'West Lake Marion Park', 'South Mountain', 'Cuyuna Country State Recreation Area', 'Stillwater', 'Cuyuna', 'Hillside City Park', 'Jordan Parkway', 'Bertram Chain of Lakes', 'Palmerton', 'Jacobsburg State Park', 'Battle Creek', 'Theodore Wirth Park', 'Eagan', 'Tsali Recreation Area']","{'region_link': '', 'region_name': ''}",False
Cockerdude,https://www.trailforks.com/profile/Cockerdude,unknown,unknown,unknown,"['Coler Mountain Bike Preserve', 'Park Spring Park', 'Bella Vista', 'Fort Collins', 'Trinidad', 'Windsor', 'Coyote Ridge', 'Elk Creek', 'Grand County', 'Buffalo Pass', 'Emerald Mountain', 'Bear River Bike Park', 'Nederland', 'Magnolia', 'Horsetooth Mountain', 'Sheridan', 'Maxwell Natural Area', 'Lebanon Hills', 'West Lake Marion Park', 'Eagan', 'Lory State Park', 'Pineridge Natural Area', 'Mud Lake', 'Steamboat Springs', 'Ward', 'Tushar Mountains', 'Beaver', 'Boulder', 'Arapaho Bend Natural Area', 'Fruita', '18 Road', 'Longmont', 'Boulder Valley Ranch / Boulder Reservoir', 'Aurora', 'Gunbarrel', 'Cuchara', 'Pine Bluffs', 'Reservoir Ridge', '7th Cavalry Trail System', 'Crosier Mountain', 'Blowing Springs', 'Slaughter Pen Trails', 'Emporia', 'Cheyenne Crossing', 'Evolution Bike Park &nearr;']","{'region_link': '', 'region_name': ''}",False
Samderson7,https://www.trailforks.com/profile/Samderson7,Helena,Montana,USA,"['Helena', 'South Hills', 'Regulating Reservoir', 'York', 'Clancy', 'Scratchgravel Hills', 'Missoula', 'Saltese', 'Great Falls', 'Butte', 'Boulder', 'Bogus Basin', ""Adam's Gulch"", 'Galena Lodge', 'Copper City', 'City Creek', 'Idaho Falls', 'Montana Tech Open Space Butte Bike Park', 'Smith River', 'Quepos', 'The Whitefish Trail', 'Herrick', 'Mullan', 'The Rattlesnake', 'Wanoga', 'Eugene', ""Phil's"", 'North Umpqua Trail', 'Colorado Springs', 'Tenmile Creek Park', 'Rocky Mountain Front', 'Little Belt Mountains', 'Trailside Park', 'Woodward Park City', 'Park City Mountain Resort', 'Round Valley', 'Park City', 'Wanship', 'Madison County', 'Silverbow County', 'Bangtail Divide', 'Cuyuna Country State Recreation Area', 'Columbia Falls', 'Emerald Mountain', 'North Cheyenne Cañon', 'Red Rock Canyon Open Space', ""Kokopelli's Trail"", 'Fruita', 'Central Montana', 'Whitefish Bike Retreat', 'Whitefish', 'Spencer Mountain', 'McMaster Hills', 'Boschendal Wine Farm', 'Pattee Canyon', 'MacDonald Pass', 'Gallatin Range', 'Montana', 'Palmer Park', 'Roseville', 'Lakeville', 'Theodore Wirth Park', 'Naylor Mill Forest Trail', 'Eastern Shore', 'River Falls', 'Minneapolis', 'Minnesota River Trail', 'Metro', 'Bloomington', 'Minnesota River Bottoms', 'West Lake Marion MTB Trails', 'Murphy-Hanrehan Park', 'Lebanon Hills', 'Elm Creek Park', 'Gail Lake Township', 'Baxter', 'Hibbing', 'Iron Range Area', 'American Legion Memorial Park', 'Valley View Park', 'Reservoir Woods Park', 'Carver Lake Park', 'Copper Harbor Trail System', 'Michigan Tech Trails', 'Battle Creek', 'Welch Village MTB Park']","{'region_link': '', 'region_name': ''}",False
848687,https://www.trailforks.com/profile/848687,unknown,unknown,unknown,"['Spirit Mountain &nearr;', 'Lebanon Hills', 'Cottage Grove', 'Eagan', 'Monarch - Carver Park Reserve', 'Battle Creek', 'Theodore Wirth Park', 'Murphy-Hanrehan Park', 'Burnsville', 'Chaska', 'Tofte', 'Giants Ridge &nearr;', 'Giants Ridge', 'Cuyuna Country State Recreation Area', ""Giant's Ridge &nearr;"", ""Giant's Ridge"", 'Carver Lake Park', 'Piedmont & Brewer', 'Whitetail Ridge', 'Bertram Chain of Lakes', 'Elm Creek Park', 'Doi Suthep Pui National Park', 'Chiang Mai', 'Lester Park', 'Mission Creek', 'Spirit Mountain', 'Bloomington', 'Lakeville', 'La Sal Mountains', 'Mag 7', 'Apex Park', 'Welch Village MTB Park &nearr;', 'Piedmont', 'Rock Lake State Nature Area', 'Hillside City Park', 'Monticello', 'Bertram Lake', 'Memorial Park', 'Terrace Oaks']","{'region_link': '', 'region_name': ''}",False
